"Name","TID","Rarity","Range","SightRange","DeployTime","TriggerRadius","TriggerTime","Speed","Hitpoints","HitSpeed","NewTargetHitSpeed","LoadTime","LoadFirstHit","Damage","AlertAll","IconSWF","IconExportName","StopTimeAfterAttack","Projectile","CustomFirstProjectile","MultipleProjectiles","MultipleTargets","AllTargetsHit","MinimumRange","LandingEffect","AttacksGround","AttacksAir","AttackPrepareTime","DeathDamageRadius","DeathDamage","DeathPushBack","AttackPushBack","LifeTime","ProjectileEffect","AreaDamageOnLineDist","AreaDamageRadius","TargetOnlyBuildings","BuffOnDamage","BuffOnDamageTime","StartingBuff","StartingBuffTime","BuffWhenNotAttacking","BuffWhenNotAttackingTime","BuffWhenNotAttackingEffect","BuffWhenNotAttackingRemoveEffect","UseAnimator","UseVehicleAnimator","FileName","BlueExportName","RedExportName","AttachedCharacter","AttachedCharacterHeight","DealDamageEffect","DeathEffect","DeathEffect2","MoveEffect","LoopMoveEffect","SpawnBaseAnimExportName","SpawnStartEffect","SpawnEndEffect","ShadowScaleX","ShadowScaleY","ShadowX","ShadowY","ShadowSkew","ShadowCustom","Pushback","IgnorePushback","Scale","CollisionRadius","CollisionW","CollisionH","NoCollisionWithOwnTeam","DeployTileW","DeployTileH","Mass","AreaBuff","AreaBuffTime","AreaBuffRadius","HealthBar","HealthBarOffsetY","ShowHealthNumber","FlyingHeight","FlyDirectPaths","FlyFromGround","DamageBaseAnim","AttackBaseAnim","GrowTime","GrowSize","MorphCharacter","MorphEffect","HealOnMorph","AreaEffectOnMorph","MorphTime","MorphKeepTarget","AttackStartEffect","ContinuousAttackEffect","ContinuousEffect","SpawnOnTrigger","SpawnStartTime","SpawnInterval","SpawnNumber","SpawnLimit","DestroyAtLimit","SpawnPauseTime","SpawnCharacterLevelIndex","SpawnCharacter","SpawnProjectile","SpawnCharacterEffect","SpawnDeployBaseAnim","DeathSpawnCount","DeathSpawnCharacter","DeathSpawnProjectile","DeathSpawnTargetedProjectile","DeathSpawnRadius","DeathSpawnMinRadius","DeathSpawnDelay","DeathSpawnDeployTime","DeathSpawnPushback","DeathAreaEffect","DeathInheritIgnoreList","Kamikaze","KamikazeTime","KamikazeEffect","SpawnPathfindSpeed","SpawnPathfindEffect","SpawnPathfindMorph","SpawnPushback","SpawnPushbackRadius","SpawnAreaObject","SpawnAreaObjectLevelIndex","TakeDamageEffect","ShieldTakeDamageEffect","ProjectileStartRadius","ProjectileStartRadius2","ProjectileStartZ","StopMovementAfterMS","WaitMS","DontStopMoveAnim","IsSummonerTower","TargettedDamageEffect1","TargettedDamageEffect2","TargettedDamageEffect3","DamageLevelTransitionEffect12","DamageLevelTransitionEffect23","FlameEffect1","FlameEffect2","FlameEffect3","TargetEffectY","SelfAsAoeCenter","HidesWhenNotAttacking","TakeDamageHidden","HideTimeMs","HideBeforeFirstHit","TargetedHitEffect","UpTimeMs","HideEffect","AppearEffect","AppearPushbackRadius","AppearPushback","AppearAreaObject","HasRotationOnTimeline","TurretMovement","ProjectileYOffset","SightClip","AreaEffectOnDash","SightClipSide","WalkingSpeedTweakPercentage","ShieldHitpoints","ShieldDiePushback","ShieldLostEffect","BlueShieldExportName","RedShieldExportName","LoadAttackEffect1","LoadAttackEffect2","LoadAttackEffect3","LoadAttackEffectReady","TurretRotateAngleSpeed","RotateAngleSpeed","RetargetAfterAttack","AttackShakeTime","SprayAngle","Burst","BurstDelay","BurstKeepTarget","BurstAffectAnimation","ProduceResource","DeathResource","DeathResourceAmount","GivesStars","DefenceTroopCount","DefenceTroopCharacter","DefenceTroopSpawnAtTime","DefenceTroopRespawnTime","DefenceTroopLevelIndex","ColorMulR","ColorMulG","ColorMulB","ColorAddR","ColorAddG","ColorAddB","VariableDamageTime1","VariableDamageTime2","VariableDamage2","VariableDamage3","VariableHitSpeed2","VariableHitSpeed3","JumpSpeed","JumpHeight","JumpTime","AbilityDamage","AbilityDamageRadius","AbilityPushback","DashPrepareTime","DashLandingTime","DashMinRange","DashMaxRange","DashMinTime","DashConstantTime","TriggerEffect","GroundLayer","IsTank"
"Cake","TID_BUILDING_CLUSTER_BOMB","Rare",3500,3500,100,2500,1500,,,,,,,,,"sc/traps.sc","Cake_lvl1_setup",,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,"sc/traps.sc","Cake_lvl1_setup","Cake_lvl1_setup",,,,"MineExplosion","mine_debris",,,"filter_deploy_unit_default","Deploy_bomb","giant_skeleton_deploy",200,120,-2,0,10,,,,200,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,"ClusterGrenade",,4500,2000,,,,,,,,,,,,,,,,,,400,,10,,,,,,,,,,,,,,,,,,,,,,"trap_appear",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gatling","TID_BUILDING_GATLING","Rare",7000,7000,100,7000,,,900,400,,1500,,10,,"sc/building_gatling.sc","gatling_lvl1_active",,"GatlingProjectile",,,,,,,"true","true",,,,,,,,,,,,,,,,,,,,,"sc/building_gatling.sc","gatling_lvl1_active","gatling_lvl1_active",,,,"Starbox_big_destroy","Starbox_debris_small",,,"filter_deploy_unit_default","Deploy_cannon","giant_skeleton_deploy",-90,90,-3,8,10,,,,100,1500,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,600,,,,,,,,,,,,,,,,,,,,,,,,,,"true",8,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,2500,1600,30,110,300,120,,,,,,,,,,,,,,,
"Bomb","TID_BUILDING_BOMB","Rare",2500,2500,100,1500,1500,,,,,,,,,"sc/traps.sc","BlueberryBomb_lvl1_deployVisible",,,,,,,,,"true",,,1500,175,2000,,,,,,,,,,,,,,,,,"sc/traps.sc","BlueberryBomb_lvl1_deployVisible","BlueberryBomb_lvl1_deployVisible",,,,"MineExplosion","mine_debris",,,"filter_deploy_unit_default","Deploy_bomb","giant_skeleton_deploy",80,80,-2,6,10,,,,100,,,,"true",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,10,,,,,,,,,,,,,,,,,,,,,,"trap_appear",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FreezeTrap","TID_BUILDING_FREEZE_TRAP","Epic",3500,3500,100,2500,1500,,,,,,,,,"sc/traps.sc","FreezeBomb_lvl1_deployVisible",,,,,,,,,"true","true",,,,,,,,,,,,,,,,,,,,,"sc/traps.sc","FreezeBomb_lvl1_deployVisible","FreezeBomb_lvl1_deployVisible",,,,"FreezeTrap",,,,"filter_deploy_unit_default","Deploy_bomb","giant_skeleton_deploy",80,-80,-3,5,10,,,,80,,,,"true",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Freeze",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"trap_appear",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RandomTrap","TID_GENERATE_UNIT_POS","Common",6000,6000,100,8000,,,900,850,,,,,,"sc/ui.sc","random_trap_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc/ui.sc","random_trap_base","random_trap_base",,,,"Cannon_die",,,,"filter_deploy_unit_default","Deploy_bomb","giant_skeleton_deploy",100,100,-5,-5,,,,,100,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"trap_appear",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Plasmagun","TID_BUILDING_PLASMA","Rare",6000,6000,100,6000,,,800,2000,,,,,,"sc/building_railgun.sc","Plasmacannon_lvl1_active",,"PlasmagunProjectile",,,,,,,"true","true",,,,,,,,,,,,,,,,,,,,,"sc/building_railgun.sc","Plasmacannon_lvl1_active","Plasmacannon_lvl1_active",,,,"Starbox_big_destroy","Starbox_debris_small",,,"filter_deploy_unit_default","Deploy_cannon","giant_skeleton_deploy",-90,90,-3,8,10,,,,100,1500,,,"true",,,,,,,,,,,,,,,,,,,,,,,"PlasmaFire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,1250,,,,,,,,,,,,,,,,,,,,,,,,,,"true",10,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BlackNinjaTrap","TID_BUILDING_BLACK_NINJA_TRAP","Common",3500,3500,100,3500,500,,,,,,,,,"sc/chr_blackninja.sc","chr_blackninja_box_01",,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,"sc/chr_blackninja.sc","chr_blackninja_box_01","chr_blackninja_box_01_red",,,,,,,,"filter_deploy_unit_default","Deploy_bomb","giant_skeleton_deploy",100,50,-1,-2,,,,,100,,,,"true",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"BlackNinja",,,500,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tesla","TID_BUILDING_TESLA","Rare",5500,5500,100,5500,,,800,1400,,,,50,,"sc/building_tesla.sc","tesla_lvl1_active",,,,,4,,,,"true","true",,,,,,,,,,,,,,,,,,,,,"sc/building_tesla.sc","tesla_lvl1_active","tesla_lvl1_active",,,"PlasmaHit",,"Starbox_debris_small",,,"filter_deploy_unit_default","Deploy_tesla","giant_skeleton_deploy",-100,90,0,-6,10,,,,100,1000,,,"true",,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,1000,,,,,,,,,,,,,,,"true","true",500,"true","teslashoot",500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RocketPlatform","TID_BUILDING_ROCKET_PLATFORM","Rare",4000,4000,100,4000,700,,,,,,,,,"sc/building_rocketplatform.sc","rocket_active",,,,,,"TRUE",,,"true","true",,,,,,,,,,,,,,,,,,,,,"sc/building_rocketplatform.sc","rocket_active","rocket_active",,,,"rocket_platform_die",,,,"filter_deploy_unit_default","Deploy_bomb","giant_skeleton_deploy",100,100,,,,,,,100,,,,"true",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,"RocketPlatformProjectile","true",,,300,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,"trap_appear",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dummy","TID_BUILDING_DUMMY","Epic",,,100,,,,1200,,,,,,,"sc/ui.sc","random_unit_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc/building_defences.sc","def_dummy_01","def_dummy_01",,,,"Cannon_die",,,,"filter_deploy_unit_default","Deploy_bomb","giant_skeleton_deploy",90,65,-3,8,10,,,,140,500,,,,,,,,,,,-15,,,,,"filter_damage",,,,,,,,,,,,,,,,,,,,,,,,,1,"DummyBomb",,,,,,,,,,,,,,,,,,,,"target_dummy_take_damage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DummyBomb","TID_BUILDING_BOMB","Rare",2500,2500,100,1500,3000,,,,,,,,,"sc/traps.sc","BlueberryBomb_lvl1_deployVisible",,,,,,,,,"true",,,1500,175,2000,,,,,,,,,,,,,,,,,"sc/building_defences.sc","dummy_bomb_deploy","dummy_bomb_deploy",,,,"MineExplosion","mine_debris",,,"filter_deploy_unit_default","Deploy_bomb","giant_skeleton_deploy",-90,70,-1,-5,5,,,,100,250,1000,1000,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPC_Gold","TID_BUILDING_GOLD","Common",,,100,1,,,400,,,,,,,"sc/home_buildings.sc","goldmine_lvl1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc/home_buildings.sc","goldmine_lvl1","goldmine_lvl1",,,,"Starbox_big_destroy","Starbox_debris",,,"filter_deploy_unit_default",,"giant_skeleton_deploy",-90,90,-4,20,10,"goldmine_lvl1_shadow",,,100,500,2000,2000,"true",6,6,,,,,,,,,,,"filter_damage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gold",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPC_StarBox","TID_BUILDING_STAR_BOX","Common",,,100,1,,,200,,,,,,,"sc/level_collectables.sc","Star_box",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc/level_collectables.sc","Star_box","Star_box",,,,"Starbox_big_destroy","Starbox_debris_small",,,"filter_deploy_unit_default",,"giant_skeleton_deploy",100,50,-2,14,10,,,,100,500,2000,2000,"true",4,4,,,,,,,,,,,"filter_damage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
