"Name","NumberValue","BooleanValue","TextValue","StringArray","NumberArray"
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
"GIVE_HOME_BUILDINGS_AFTER_N_WINS",10,,,,
"KEY_GENERATION_TIME_MINS",60,,,,
"DEFENCE_CHEST_THRESHOLDS",,,,,100
"DEFENCE_CHESTS",,,,"Defence",
"ALLIANCE_SCORE_LIMIT",,,,,0
,,,,,200
,,,,,400
,,,,,600
,,,,,800
,,,,,1000
,,,,,1100
,,,,,1200
,,,,,1300
,,,,,1400
,,,,,1500
,,,,,1600
,,,,,1700
,,,,,1800
,,,,,1900
,,,,,2000
,,,,,2100
,,,,,2200
,,,,,2300
,,,,,2400
,,,,,2500
,,,,,2600
,,,,,2700
,,,,,2800
,,,,,2900
,,,,,3000
,,,,,3100
,,,,,3200
,,,,,3300
,,,,,3400
,,,,,3500
,,,,,3600
,,,,,3700
,,,,,3800
,,,,,3900
,,,,,4000
,,,,,4100
,,,,,4200
"CAPTURE_COST",1000,,,,
,,,,,
"SPAWNER_BUILDING_TOTAL_UNITS_TO_SPAWN",15,,,,
"WALLS_FOR_ONE_HOUSING",5,,,,
"CLAN_RESEARCH_GOAL",20,,,,
"CLAN_RESEARCH_DONATIONS_PER_USER",2,,,,
"CLAN_RESEARCH_DURATION_HOURS",72,,,,
"CLAN_RESEARCH_MINIMUM_CLAN_SIZE",5,,,,
"CARD_N0",2,,,,
"CARD_N1",5,,,,
"LIMIT_CARD_LEVELS_BY_HQ_TH",,"FALSE",,,
"REFRESH_PATH_WHEN_WALKING_TO_WALL_TIME_MIN",750,,,,
"REFRESH_PATH_WHEN_WALKING_TO_WALL_TIME_MAX",1500,,,,
"STARS_FOR_CHEST",5,,,,
"STARS_TO_LEADERBOARD",10,,,,
"ATTACK_COST_INCREASE_PER_TIME",,,,,100
,,,,,150
,,,,,200
,,,,,275
,,,,,350
,,,,,425
,,,,,500
,,,,,600
,,,,,750
,,,,,900
,,,,,1000
"RESOURCE_PRODUCTION_LOOT_PERCENTAGE",50,,,,
"FREE_CHEST_GEMS",,,,,2
,,,,,0
,,,,,0
,,,,,0
,,,,,2
,,,,,0
,,,,,0
,,,,,2
,,,,,0
,,,,,0
,,,,,0
,,,,,4
,,,,,0
,,,,,0
,,,,,0
,,,,,2
,,,,,0
,,,,,0
,,,,,2
,,,,,2
,,,,,0
,,,,,0
,,,,,0
,,,,,0
"DOMINATION_MAX_EXCLUDE_MEMBERS",50,,,,
"DOMINATION_PREPARATION_DURATION",1440,,,,
"DOMINATION_ATTACK_DURATION",1440,,,,
"DOMINATION_UNLOCK_LEVEL",,,,,
"LIVE_REPLAY_ENABLED",,"TRUE",,,
"LIVE_REPLAY_UPDATE_FREQUENCY_SECONDS",2,,,,
"LIVE_REPLAY_ALLOW_DEBUG_COMMAND",,"TRUE",,,
"SHARE_REPLAY_COOLDOWN",60,,,,
"USE_OLD_CLOSEST_VALID_POSITION",,"FALSE",,,
"USE_LEADERBOARD_ATTACK_DIRECT",,"TRUE",,,
"DOMINATION_MAP_COMPLETE_CACHE",,"TRUE",,,
"END_OF_MATCH_MODIFIER_PERCENT",250,,,,
"KEEP_CURRENT_TARGET_IF_NO_MOVEMENT",,"TRUE",,,
"PATHFIND_TO_TARGET_AFTER_TRIGGER",,"TRUE",,,
"START_SPEED_UP_AT_EARLIEST_AT_SEC",10,,,,
"GAINED_BATTLE_LOOT_TIME_MINS",1440,,,,
"AVAILABLE_BATTLE_LOOT_TIMES",100,,,,
"USE_BATTLE_LOOT_LIMIT",,"TRUE",,,
"WALLS_NOT_TRIGGER",,"TRUE",,,
"USE_NEW_END_OF_LEVEL_CHECK",,"TRUE",,,
"OUTPOST_LOOT_FIX",,"FALSE",,,
"REFRESH_LEAGUE_ON_GET",,"TRUE",,,
"TRAINABLE_UNIT_COUNT",5,,,,
"TRAINABLE_ABILITY_COUNT",3,,,,
"REFRESH_TROOPS_COST",,,,,25
,,,,,50
,,,,,75
,,,,,100
,,,,,150
,,,,,200
,,,,,250
,,,,,300
,,,,,400
,,,,,500
"OUTPOST_REFRESH_COST",,,,,100
,,,,,200
,,,,,300
,,,,,500
,,,,,750
,,,,,1000
,,,,,1250
,,,,,1500
,,,,,1750
,,,,,2000
,,,,,2500
"STEALING_ENABLED",,"FALSE",,,
"NEW_UNITS_CHEST_GOAL",3,,,,
"ASK_TO_CONFIRM_BASE_EXP",4,,,,
"DEFENCE_TROOP_COUNT",5,,,,
"DEFENCE_BUILDING_COUNT",5,,,,
"CHECKSUM_RAND",,"TRUE",,,
"EXTRA_GOLD_PER_TROOP_HOUSING",10,,,,
"EXTRA_GOLD_PER_AIRDROP_HOUSING",20,,,,
"TEAM_JOIN_BONUS",25,,,,
