"TID","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT","FA","ID","MS","TH","FI","VI"
"TID_CARD_SHOTGUN","HOTSHOT",,,,,,,,,,,,,,,,,,,,
"TID_CARD_LASER","LASER",,,,,,,,,,,,,,,,,,,,
"TID_CARD_BOXER","BOXER",,,,,,,,,,,,,,,,,,,,
"TID_CARD_TAZER","HENCHMEN",,,,,,,,,,,,,,,,,,,,
"TID_CARD_PLUMBER_VAN","PLUMBER VAN",,,,,,,,,,,,,,,,,,,,
"TID_CARD_FREEZE_TRAP","FREEZE MINE",,,,,,,,,,,,,,,,,,,,
"TID_CARD_MORTAR","MORTAR",,,,,,,,,,,,,,,,,,,,
"TID_CARD_MINE","MINES",,,,,,,,,,,,,,,,,,,,
"TID_CARD_BOMB","BOMB",,,,,,,,,,,,,,,,,,,,
"TID_CARD_WALL","WALLS",,,,,,,,,,,,,,,,,,,,
"TID_CARD_CANNON","CANNON",,,,,,,,,,,,,,,,,,,,
"TID_CARD_GATLING","GATLING",,,,,,,,,,,,,,,,,,,,
"TID_CARD_HELIPOD","HELIPOD",,,,,,,,,,,,,,,,,,,,
"TID_CARD_PLUMBER_HUT","PLUMBER HOLE",,,,,,,,,,,,,,,,,,,,
"TID_CARD_FLAMETHROWER","BLAZE",,,,,,,,,,,,,,,,,,,,
"TID_CARD_BOMBARDTANK","ROCKET TRUCK",,,,,,,,,,,,,,,,,,,,
"TID_CARD_BLACK_NINJA","BOX NINJA",,,,,,,,,,,,,,,,,,,,
"TID_CARD_KUNGFU","KUNGFU",,,,,,,,,,,,,,,,,,,,
"TID_CARD_CAKE","CLUSTER CAKE",,,,,,,,,,,,,,,,,,,,
"TID_CARD_WHITE_NINJA","SNEAKY NINJA",,,,,,,,,,,,,,,,,,,,
"TID_CARD_INFO_SOLDIER","Bread and butter of warfare! Attacks air and ground at short range. Cool under pressure, but watch out for grenades!",,,,,,,,,,,,,,,,,,,,
"TID_CARD_INFO_SHIELD","Put them at the front to soak up damage with their riot shields – but really it's their healthy skepticism that keeps them safe.",,,,,,,,,,,,,,,,,,,,
"TID_CARD_INFO_GRENADE","Ex-baseball pitcher putting those throwing skills to good use! Medium range and best against groups of enemies.",,,,,,,,,,,,,,,,,,,,
"TID_CARD_INFO_TANK","This absolute unit crushes obstacles in its path and deals area damage at medium range. Also works part-time for a rideshare company.",,,,,,,,,,,,,,,,,,,,
"TID_CARD_INFO_BAZOOKA","Deals long range, area damage to both air and ground units – plus extra damage to buildings! Previously a world champion arm wrestler.",,,,,,,,,,,,,,,,,,,,
"TID_CARD_INFO_GORILLA","It's a building-targeting Gorilla with a GIANT wrench! Why did they make a wrench this big? What does he do with it? So many questions...",,,,,,,,,,,,,,,,,,,,
"TID_CARD_INFO_JETPACK","Fast moving, medium ranged and can fly over obstacles. Can't be targeted by certain troops or defenses. Blue hair is the new pink!",,,,,,,,,,,,,,,,,,,,
"TID_CARD_INFO_SHOTGUN","Eyebrow model by day, Hotshot by night. He moves fast and blasts anything in front of him. His shotgun doubles as a selfie stick.",,,,,,,,,,,,,,,,,,,,
"TID_CARD_INFO_LASER","His attack passes through and damages all enemies in its path! This makes him terrifying beyond the capacity for rational thought.",,,,,,,,,,,,,,,,,,,,
"TID_CARD_INFO_APC","The van parks up, then the Plumbers pile out – like an army of handyman ants who won't fix your pipes.",,,,,,,,,,,,,,,,,,,,
"TID_CARD_INFO_BOMBARDTANK","Deals long range, area damage to ground units. Side hustles as a grilled cheese sandwich food truck on weekends.",,,,,,,,,,,,,,,,,,,,
"TID_CARD_INFO_WHITE_NINJA","Invisible until he attacks! Moves very fast and carries a box of crickets to mask his footsteps. So sneaky.",,,,,,,,,,,,,,,,,,,,
"TID_CARD_INFO_BOXER","Briefly stuns enemies with each punch. Enjoys a good brawl almost as much as a soft bamboo tank top.",,,,,,,,,,,,,,,,,,,,
"TID_CARD_INFO_FLAMETHROWER","Shoots a jet of flame at short range, effective against groups of enemies. Always looking for a new audience to roast with his stand-up routine.",,,,,,,,,,,,,,,,,,,,
"TID_CARD_INFO_KUNGFU","Deals area damage up close with his nunchucks, which double as drumsticks when playing for his smooth jazz band Hot Potato.",,,,,,,,,,,,,,,,,,,,
"TID_CARD_INFO_MORTAR","Deals area damage at very long range. Fun.",,,,,,,,,,,,,,,,,,,,
"TID_CARD_INFO_MINE","They come in pairs, like socks, but are less friendly to your feet. Deals area damage to nearby ground units.",,,,,,,,,,,,,,,,,,,,
"TID_CARD_INFO_BOMB","Deals more area damage than a Mine, but in a smaller radius. It's da bomb!",,,,,,,,,,,,,,,,,,,,
"TID_CARD_INFO_BASE","Base info",,,,,,,,,,,,,,,,,,,,
"TID_CARD_INFO_WALL","Block pathways and guide enemy ground troops... TO THEIR DOOM! Ahahaha!",,,,,,,,,,,,,,,,,,,,
"TID_CARD_INFO_CANNON","Targets air and ground at long range with lethal efficiency. Another Henchman making Mother proud.",,,,,,,,,,,,,,,,,,,,
"TID_CARD_INFO_GATLING","Its barrels spin fast, then faster, then fastest! Perfect for taking down big targets. Meanwhile, the Henchman says “Aaaaaaaaaaaaaaah!”",,,,,,,,,,,,,,,,,,,,
"TID_CARD_INFO_PLUMBER_HUT","Caution! Plumbers at work. Approach at your own risk.",,,,,,,,,,,,,,,,,,,,
"TID_CARD_INFO_FREEZE_TRAP","Freezes air and ground units... and gravity apparently!? Cool, huh?",,,,,,,,,,,,,,,,,,,,
"TID_CARD_INFO_PLASMAGUN","Shoots a human-size ball of plasma that passes through and damages all enemies in its path! Range is from long to very very very long.",,,,,,,,,,,,,,,,,,,,
"TID_CARD_INFO_DUMMY","1. Do nothing\n2. ???\n3. Profit",,,,,,,,,,,,,,,,,,,,
"TID_CARD_INFO_TESLA","Pops up, zaps multiple targets at once, then slinks away. Dreams of becoming a disco ball one day.",,,,,,,,,,,,,,,,,,,,
"TID_CARD_INFO_ROCKET_PLATFORM","Launches homing rockets from a questionably small silo in the ground. Effective against a trio of units.",,,,,,,,,,,,,,,,,,,,
"TID_CARD_INFO_TAZER","Armed with tasers that slow and a strong desire to please Mother, they won't stop until you're toast. Burnt toast.",,,,,,,,,,,,,,,,,,,,
"TID_CARD_INFO_HELIPOD","Flies over obstacles and drops bombs from its steel jaws – look out below! Piloted by a 7-foot Henchman who didn't make the basketball team.",,,,,,,,,,,,,,,,,,,,
"TID_CARD_INFO_BLACK_NINJA","It's a ninja in a box, but if you get close... it becomes a ninja out of a box!",,,,,,,,,,,,,,,,,,,,
"TID_CARD_INFO_CAKE","Surprise! It's your birthday. Your final birthday.",,,,,,,,,,,,,,,,,,,,
"TID_CHARACTER_SOLDIER","TROOPERS",,,,,,,,,,,,,,,,,,,,
"TID_CHARACTER_SHIELD","SHIELDS",,,,,,,,,,,,,,,,,,,,
"TID_CHARACTER_GRENADE","PITCHER",,,,,,,,,,,,,,,,,,,,
"TID_CHARACTER_TANK","TANK",,,,,,,,,,,,,,,,,,,,
"TID_CHARACTER_BAZOOKA","BAZOOKA",,,,,,,,,,,,,,,,,,,,
"TID_CHARACTER_APC","PLUMBER VAN",,,,,,,,,,,,,,,,,,,,
"TID_CHARACTER_DINOSAUR","B.I.G.",,,,,,,,,,,,,,,,,,,,
"TID_CHARACTER_JETPACK","JETPACKS",,,,,,,,,,,,,,,,,,,,
"TID_CHARACTER_GORILLA","GORILLA",,,,,,,,,,,,,,,,,,,,
"TID_CHARACTER_SHOTGUN","HOTSHOT",,,,,,,,,,,,,,,,,,,,
"TID_CHARACTER_LASER","LASER",,,,,,,,,,,,,,,,,,,,
"TID_CHARACTER_BEARMAN","BEARMAN",,,,,,,,,,,,,,,,,,,,
"TID_CHARACTER_EGGMACHINE","MOTHER",,,,,,,,,,,,,,,,,,,,
"TID_CHARACTER_COMMNADER_SOLDIER","COACH",,,,,,,,,,,,,,,,,,,,
"TID_CHARACTER_COMMANDER_GRENADE","LADY GRENADE",,,,,,,,,,,,,,,,,,,,
"TID_CHARACTER_PLUMBER","PLUMBER",,,,,,,,,,,,,,,,,,,,
"TID_CHARACTER_BOXER","BOXER",,,,,,,,,,,,,,,,,,,,
"TID_CHARACTER_BUSHMAN","BUSHMAN",,,,,,,,,,,,,,,,,,,,
"TID_CHARACTER_TAZER","HENCHMEN",,,,,,,,,,,,,,,,,,,,
"TID_CHARACTER_PARATROOPER","PARATROOPER",,,,,,,,,,,,,,,,,,,,
"TID_CHARACTER_BLACK_NINJA","BOX NINJA",,,,,,,,,,,,,,,,,,,,
"TID_BUILDING_MORTAR","MORTAR",,,,,,,,,,,,,,,,,,,,
"TID_BUILDING_MINE","MINE",,,,,,,,,,,,,,,,,,,,
"TID_BUILDING_WALL","WALL",,,,,,,,,,,,,,,,,,,,
"TID_BUILDING_CANNON","CANNON",,,,,,,,,,,,,,,,,,,,
"TID_BUILDING_GOLD_MINE","GOLD MINE",,,,,,,,,,,,,,,,,,,,
"TID_BUILDING_STAR_BOX_BIG","BIG STAR BOX",,,,,,,,,,,,,,,,,,,,
"TID_BUILDING_STAR_BOX","STAR BOX",,,,,,,,,,,,,,,,,,,,
"TID_BUILDING_MANHOLE","MANHOLE",,,,,,,,,,,,,,,,,,,,
"TID_BUILDING_CLUSTER_BOMB","CLUSTER BOMB",,,,,,,,,,,,,,,,,,,,
"TID_BUILDING_GATLING","GATLING GUN",,,,,,,,,,,,,,,,,,,,
"TID_BUILDING_BOMB","BOMB",,,,,,,,,,,,,,,,,,,,
"TID_BUILDING_FREEZE_TRAP","FREEZE TRAP",,,,,,,,,,,,,,,,,,,,
"TID_BUILDING_RAILGUN","RAILGUN",,,,,,,,,,,,,,,,,,,,
"TID_BUILDING_BUSHMAN","BUSHMAN",,,,,,,,,,,,,,,,,,,,
"TID_PROJECTILE_CAKE_GRENADE","GRENADE",,,,,,,,,,,,,,,,,,,,
"TID_PROJECTILE_ROCKET_PLATFORM","ROCKET",,,,,,,,,,,,,,,,,,,,
"TID_INFO_DECO_COLLECTABLE","You will get supplies delivered to this spot.",,,,,,,,,,,,,,,,,,,,
"TID_UPGRADE_POPUP_TITLE","LAB",,,,,,,,,,,,,,,,,,,,
"TID_UNIT_UPGRADED","<name> upgraded to level <num>",,,,,,,,,,,,,,,,,,,,
"TID_UNIT_UNLOCKED","<name> unlocked",,,,,,,,,,,,,,,,,,,,
"TID_UNIT_LOCKED","HQ <num>",,,,,,,,,,,,,,,,,,,,
"TID_UNIT_NOT_FOUND","NOT FOUND",,,,,,,,,,,,,,,,,,,,
"TID_UNIT_COUNT_LIMIT","You can only place <num>",,,,,,,,,,,,,,,,,,,,
"TID_MAX_LEVEL","MAX",,,,,,,,,,,,,,,,,,,,
"TID_UNIT_MAX_LEVEL","MAX",,,,,,,,,,,,,,,,,,,,
"TID_UNIT_ON_MAX_LEVEL","<name> at Max Level",,,,,,,,,,,,,,,,,,,,
"TID_TRAIN_ALL_UNITS_FIRST","Add TROOPS to your attack squad!",,,,,,,,,,,,,,,,,,,,
"TID_TRAIN_ALL_AIRDROPS_FIRST","Add AIRDROPS to your attack squad!",,,,,,,,,,,,,,,,,,,,
"TID_NOT_ENOUGH_EXP_TO_UPGRADE","Not enough cards to upgrade!",,,,,,,,,,,,,,,,,,,,
"TID_AIRDROP_LOCKED","Not found",,,,,,,,,,,,,,,,,,,,
"TID_INFO","INFO",,,,,,,,,,,,,,,,,,,,
"TID_UPGRADE","UPGRADE",,,,,,,,,,,,,,,,,,,,
"TID_BUTTON_COLLECT","COLLECT",,,,,,,,,,,,,,,,,,,,
"TID_BUTTON_BACK","BACK",,,,,,,,,,,,,,,,,,,,
"TID_BUTTON_SHOP","SHOP",,,,,,,,,,,,,,,,,,,,
"TID_REWARDS","Rewards",,,,,,,,,,,,,,,,,,,,
"TID_CHAR_BUBBLE_TEXT","!?",,,,,,,,,,,,,,,,,,,,
"TID_CRAP0","All eggs should not be put in one basket.",,,,,,,,,,,,,,,,,,,,
"TID_CRAP1","Not all that glows is silver.",,,,,,,,,,,,,,,,,,,,
"TID_CRAP2","Not worth it to go further than the sea for fish.",,,,,,,,,,,,,,,,,,,,
"TID_CRAP3","One shouldn't make a bull out of a fly.",,,,,,,,,,,,,,,,,,,,
"TID_CRAP4","An accident won't arrive with a bell on its neck.",,,,,,,,,,,,,,,,,,,,
